playername,timeplayed,gamesplayed,errors,RMSE,a,b,c
Anhhhoang,571,3517,[],8.41931060029903,-3.6051678068254476e-05,6.965417192817473,-988.7101559978606
anht07,1116,235,[],36.40180715947081,1.4559141330325507e-05,4.090806958323805,-3.680318784944404
AnimeBlack,1496,2697,[],22.22463072698092,-0.003886541400548601,3.1409214774846803,41.343083960640215
animecake,735,358,[],4.579669155964808,-0.008077052000396467,3.268596359629326,42.938641075854484
Anjelo,1282,284,[],7.864462775225338,-2.6202611139133353e-05,6.98549011637244,-999.9995803567796
Anna,1604,4824,[],11.657729935267998,0.0018920318558096143,-0.9729846140676657,50.920736965941295
annalise,1131,3403,[],3.572637887589932,-0.008170389732095178,3.076494765955254,28.89284913476776
Annihilator,180,1327,[],6.216366659064629,-0.018544114725154694,2.4245468671903514,34.56322705041597
Annikaa,211,591,[],29.628899459049627,-0.004647385475638185,2.342536481779406,49.706058821366746
anochankawaii,1186,1032,[],12.713501106399967,-0.0013799639105909053,3.2266118093184755,59.816485478648566
Anon1025,677,1303,[],10.747806251698158,-0.0027282701005549594,4.319792085676427,16.40202351634713
anorak789,1197,2844,[],5.676836064670673,-0.00727022630666502,1.9608292770329807,42.477917957180345
anson13,364,288,[],15.30481041496004,4.442112536177422e-05,6.962729562983117,-999.0016417661872
Anson370,1242,4090,[],2.6146720452838412,-0.01602934176191177,1.2442391760052738,36.730203216389654
answer2question,1195,1245,[],12.050643806078416,-0.00318456690133143,3.7040912296556336,36.640612401954144
Antagonologist,1220,4230,[],6.479108408565821,-0.0044433801694418055,2.2353373587877714,30.280460442985536
anthony1919,1090,966,[],25.700793535372824,-0.0028561227561542555,3.5485327222888046,36.77124425908841
Anthony_Hazers,430,423,[],16.84933443793111,-0.006497905781489348,3.5243863556563753,38.063520780832214
antms1010,1019,947,[],19.987680876512346,-5.95367509672782e-06,4.146737765384487,-1.349456945287434
AntonErgo,1044,313,[],8.839596536096433,-0.0008697335029309813,3.3518089288463386,29.94335280525955
anuolna,818,2639,[],15.398375026875206,0.02175981729885039,-14.770548987911413,57.939181023158554
aomine247,544,3086,[],11.092333512091729,-2.087933884125661e-05,6.960671728887046,-997.4957298571156
ApatheticWizzy,829,670,[],12.875947564203903,-0.027150011210683604,4.1701223403791,50.9950035091701
Apfelsien,618,463,[],12.4055817159181,-0.004218301061175208,3.363276454418155,52.0904265326401
apleryt,906,1695,[],11.333411581039002,-0.005587752609448871,3.6546805467513575,32.27414723801907
apogee,36,240,[],5.122485526157624,-0.08487114889059638,1.4738418649582852,38.1377777965244
apple,1973,2161,[],4.247653022838492,-0.0051305607162699315,2.7514485240274453,31.2165556384903
applegreen213,1189,367,[],7.341197825709474,-9.959204510958374e-06,6.1308500761914235,-401.0555775609224
Applequestria,1532,448,[],91.05800569389054,-0.002975552792507921,3.6100038287818816,54.344520298998
Appleton,947,2697,[],9.48625080517218,-0.0024008154104764993,2.457484266685308,56.025724117106265
Apple_Microwave,438,239,[],18.29692329382966,-9.097926029626917e-05,6.989169239166371,-999.999999981674
Appplee-boi,900,2885,[],14.918718748188963,-1.715762716502895e-05,6.968052691748305,-996.8810738635148
Aqif,1255,1214,[],12.139599289588398,-0.0062815232531799,3.050569065804617,51.88374721760211
AquaticGD,572,222,[],4.3703374943059385,-0.006820116457616318,3.3405861011462927,35.85549247647809
Arazwow,1186,4307,[],6.311169275266119,-0.015980272356494934,3.1396012537708278,45.64154380019398
archduke,1672,2077,[],7.015072321121784,-0.006160836694885362,3.202646156814817,48.000450908951244
archer4,1343,7138,[],11.328455490619652,-4.57272307157893e-06,6.293174382465858,-510.5906452128536
Ardoumn,609,1648,[],15.764147842208011,-0.00822074112462983,3.66206338451967,49.17179981045038
aric5556,845,7807,[],12.210529346741167,-0.012405620321351308,3.4549813015954753,35.128287013349215
